2024-06-03 14:19:22,018:Click detected
2024-06-03 14:19:23,076:Click detected
2024-06-03 14:19:27,610:Click detected
2024-06-03 14:19:30,658:Click detected
2024-06-03 14:19:38,835:Click detected
2024-06-03 14:19:50,372:Click detected
2024-06-03 14:21:40,689:Click detected
2024-06-03 14:22:16,580:Click detected
2024-06-03 14:22:24,159:Click detected
2024-06-03 14:22:24,638:Click detected
2024-06-03 14:22:27,921:Click detected
2024-06-03 14:22:29,048:Click detected
2024-06-03 14:22:30,349:Click detected
2024-06-03 14:22:34,553:Click detected
2024-06-03 14:22:39,316:Click detected
2024-06-03 14:22:41,269:Click detected
2024-06-03 14:22:51,007:Click detected
2024-06-03 14:23:03,983:Click detected
2024-06-04 12:18:33,154:Click detected
2024-06-04 12:18:33,872:Click detected
2024-06-04 12:18:45,807:Click detected
2024-06-04 12:18:49,195:Click detected
2024-06-04 12:18:57,396:Click detected
2024-06-04 12:19:00,391:Click detected
2024-06-04 12:19:00,886:Click detected
2024-06-04 12:19:02,203:Click detected
2024-06-04 12:19:02,698:Click detected
2024-06-04 12:19:03,576:Click detected
2024-06-04 12:19:08,253:Click detected
2024-06-04 12:19:12,522:Click detected
2024-06-04 12:19:12,980:Click detected
2024-06-04 12:19:26,137:Click detected
2024-06-04 12:19:34,072:Click detected
2024-06-04 12:19:36,048:Click detected
2024-06-04 12:19:38,161:Click detected
2024-06-04 12:19:43,163:Click detected
2024-06-04 12:20:00,902:Click detected
2024-06-04 12:20:10,588:Click detected
2024-06-04 12:20:17,209:Click detected
2024-06-04 12:20:18,075:Click detected
2024-06-04 12:20:20,957:Click detected
2024-06-04 12:20:22,002:Click detected
2024-06-04 12:20:25,759:Click detected
2024-06-04 12:20:32,002:Click detected
2024-06-04 12:20:32,467:Click detected
2024-06-04 12:20:32,964:Click detected
2024-06-04 12:20:38,868:Click detected
2024-06-04 12:20:39,351:Click detected
2024-06-04 12:20:49,507:Click detected
2024-06-04 12:21:01,180:Click detected
2024-06-04 12:23:24,141:Click detected
2024-06-04 12:23:32,133:Click detected
2024-06-04 12:23:36,717:Click detected
2024-06-04 12:23:37,187:Click detected
2024-06-04 12:23:38,106:Click detected
